patient_id,sex,population,superpopulation
HG01095,F,PUR,AMR
HG01096,M,PUR,AMR
HG01097,M,PUR,AMR
HG01098,F,PUR,AMR
HG01099,M,PUR,AMR
HG01100,F,PUR,AMR
HG01101,M,PUR,AMR
HG01102,F,PUR,AMR
HG01103,F,PUR,AMR
HG01104,M,PUR,AMR
HG01105,F,PUR,AMR
HG01106,M,PUR,AMR
HG01107,M,PUR,AMR
HG01108,F,PUR,AMR
HG01109,M,PUR,AMR
HG01110,M,PUR,AMR
HG01111,F,PUR,AMR
HG01112,M,CLM,AMR
HG01113,F,CLM,AMR
HG01114,F,CLM,AMR
HG01119,F,CLM,AMR
HG01121,M,CLM,AMR
HG01122,F,CLM,AMR
HG01124,M,CLM,AMR
HG01125,F,CLM,AMR
HG01126,M,CLM,AMR
HG01130,M,CLM,AMR
HG01131,F,CLM,AMR
HG01133,M,CLM,AMR
HG01134,F,CLM,AMR
HG01135,M,CLM,AMR
HG01136,M,CLM,AMR
HG01137,F,CLM,AMR
HG01138,M,CLM,AMR
HG01139,M,CLM,AMR
HG01140,F,CLM,AMR
HG01141,F,CLM,AMR
HG01142,M,CLM,AMR
HG01148,M,CLM,AMR
HG01149,F,CLM,AMR
HG01150,F,CLM,AMR
HG01161,M,PUR,AMR
HG01162,F,PUR,AMR
HG01164,M,PUR,AMR
HG01167,M,PUR,AMR
HG01168,F,PUR,AMR
HG01169,F,PUR,AMR
HG01170,M,PUR,AMR
HG01171,F,PUR,AMR
HG01172,M,PUR,AMR
HG01173,M,PUR,AMR
HG01174,F,PUR,AMR
HG01175,F,PUR,AMR
HG01176,M,PUR,AMR
HG01177,F,PUR,AMR
HG01178,M,PUR,AMR
HG01182,M,PUR,AMR
HG01183,F,PUR,AMR
HG01184,F,PUR,AMR
HG01187,M,PUR,AMR
HG01188,F,PUR,AMR
HG01189,M,PUR,AMR
HG01190,M,PUR,AMR
HG01191,F,PUR,AMR
HG01192,M,PUR,AMR
HG01197,M,PUR,AMR
HG01198,F,PUR,AMR
HG01199,M,PUR,AMR
HG01200,M,PUR,AMR
HG01204,M,PUR,AMR
HG01205,F,PUR,AMR
HG01206,M,PUR,AMR
HG01241,M,PUR,AMR
HG01242,F,PUR,AMR
HG01243,M,PUR,AMR
HG01247,M,PUR,AMR
HG01248,F,PUR,AMR
HG01249,F,PUR,AMR
HG01250,M,CLM,AMR
