patient_id,sex,population,superpopulation
HG02321,F,ACB,AFR
HG02322,F,ACB,AFR
HG02323,M,ACB,AFR
HG02325,F,ACB,AFR
HG02330,M,ACB,AFR
HG02332,M,ACB,AFR
HG02334,M,ACB,AFR
HG02337,F,ACB,AFR
HG02339,F,ACB,AFR
HG02343,M,ACB,AFR
HG02345,F,PEL,AMR
HG02348,F,PEL,AMR
HG02351,M,CDX,EAS
HG02353,M,CDX,EAS
HG02355,M,CDX,EAS
HG02356,M,CDX,EAS
HG02360,M,CDX,EAS
HG02364,M,CDX,EAS
HG02367,M,CDX,EAS
HG02371,M,CDX,EAS
HG02373,M,CDX,EAS
HG02374,M,CDX,EAS
HG02375,M,CDX,EAS
HG02379,M,CDX,EAS
HG02380,M,CDX,EAS
HG02382,M,CDX,EAS
HG02383,M,CDX,EAS
HG02384,M,CDX,EAS
HG02385,M,CDX,EAS
HG02386,M,CDX,EAS
HG02389,M,CDX,EAS
HG02390,M,CDX,EAS
HG02391,M,CDX,EAS
HG02392,M,CDX,EAS
HG02394,M,CDX,EAS
HG02395,M,CDX,EAS
HG02396,M,CDX,EAS
HG02397,M,CDX,EAS
HG02398,M,CDX,EAS
HG02399,M,CDX,EAS
HG02401,M,CDX,EAS
HG02402,M,CDX,EAS
HG02406,M,CDX,EAS
HG02407,M,CDX,EAS
HG02408,M,CDX,EAS
HG02409,M,CDX,EAS
HG02410,M,CDX,EAS
HG02419,F,ACB,AFR
HG02420,M,ACB,AFR
HG02425,F,PEL,AMR
HG02427,F,ACB,AFR
HG02429,M,ACB,AFR
HG02433,M,ACB,AFR
HG02439,M,ACB,AFR
