model,sex,balanced_accuracy,train_n
logistic_regression,M,0.9802344767694311,2150
logistic_regression,F,0.9707317073170731,2150
logistic_regression,overall,0.9747115997074713,2150
random_forest,M,0.9490403821102908,2150
random_forest,F,0.9334727421692822,2150
random_forest,overall,0.9407912954356608,2150
