repeat,grch38_sex_M,grch38_sex_F,grch38_gap,t2t_sex_M,t2t_sex_F,t2t_gap,delta_delta
0,0.9688059053408598,0.9804878048780488,-0.011681899537189011,0.9647242726877984,0.9758366420873512,-0.011112369399552846,-0.000569530137636165
1,0.9714285714285716,0.9853658536585366,-0.013937282229964931,0.9443161094224924,0.9813658536585363,-0.0370497442360439,0.02311246200607897
2,0.965714285714286,0.9532941439350968,0.012420141779189153,0.9787755102040816,0.947595661664862,0.031179848539219623,-0.01875970676003047
3,0.9629179331306992,0.961640798226164,0.001277134904535182,0.9726984126984128,0.9550642671754414,0.01763414552297149,-0.016357010618436307
4,0.9714285714285716,0.9425683494044244,0.028860222024147286,0.9689795918367348,0.9399001701644925,0.02907942167224231,-0.00021919964809502535
5,0.9518367346938774,0.977684387837536,-0.025847653143658555,0.9306122448979592,0.9522468244555596,-0.021634579557600397,-0.004213073586058158
6,0.9771428571428572,0.9679282902765604,0.009214566866296847,0.9743465045592704,0.9694575018477458,0.004889002711524593,0.0043255641547722545
7,0.9686167800453516,0.975609756097561,-0.0069929760522093876,0.9400607902735562,0.9612024957458876,-0.021141705472331407,0.01414872942012202
8,0.9828571428571428,0.9609756097560976,0.021881533101045125,0.9485714285714286,0.956531165311653,-0.007959736740224432,0.029841269841269558
9,0.9689795918367348,0.9530672579453068,0.015912333891427988,0.9671732522796352,0.931185250118886,0.035988002160749266,-0.02007566826932128
10,0.9573773339122884,0.9823355506282336,-0.024958216715945225,0.9614589665653496,0.9541721927155846,0.007286773849764949,-0.032244990565710174
11,0.9475814155449414,0.9758366420873512,-0.02825522654240986,0.9557446808510636,0.9620805445263756,-0.006335863675312026,-0.021919362867097836
12,0.9614589665653496,0.9618536585365852,-0.00039469197123565003,0.9516630481980024,0.9548233555062822,-0.003160307308279764,0.002765615337044114
13,0.9730612244897958,0.9855927396483268,-0.012531515158531015,0.949214068606166,0.9864707884288144,-0.03725671982264844,0.02472520466411743
14,0.9645505861919236,0.961640798226164,0.0029097879657595804,0.9787755102040816,0.9657760360267448,0.012999474177336823,-0.010089686211577242
15,0.9647242726877984,0.975609756097561,-0.010885483409762586,0.9746938775510204,0.9680433604336044,0.006650517117416044,-0.01753600052717863
16,0.9902040816326532,0.9823355506282336,0.007868531004419532,0.9857596371882088,0.968806339057048,0.016953298131160754,-0.009084767126741222
17,0.9804081632653062,0.972579453067258,0.007828710198048205,0.9743310657596372,0.9785624366180236,-0.0042313708583863185,0.012060081056434524
18,0.9590099869735128,0.9679282902765604,-0.008918303303047548,0.9771428571428572,0.9676190836326968,0.009523773510160427,-0.018442076813207975
19,0.9771428571428572,0.9551418896852816,0.022000967457575626,0.95718820861678,0.9683618946126036,-0.011173685995823579,0.033174653453399205
