repeat,grch38_sex_M,grch38_sex_F,grch38_gap,t2t_sex_M,t2t_sex_F,t2t_gap,delta_delta
0,0.9447850629613548,0.9332660238230288,0.01151903913832597,0.9231977613740532,0.95655133295519,-0.03335357158113683,0.0448726107194628
1,0.9402344767694312,0.9764878048780488,-0.03625332810861759,0.9288059053408596,0.9491916556374866,-0.020385750296627037,-0.015867577811990552
2,0.965714285714286,0.9492941439350968,0.016420141779189157,0.9514739229024944,0.9351137695732138,0.016360153329280647,5.9988449908510155e-05
3,0.9115955034496068,0.9416126781140962,-0.030017174664489388,0.9086775703189078,0.9420462824501395,-0.033368712131231715,0.003351537466742327
4,0.9531220147633522,0.9057538287010776,0.047368186062274664,0.9418671298306556,0.8975362702464235,0.04433085958423211,0.003037326478042557
5,0.9304385584020842,0.9583074305161656,-0.0278688721140814,0.9065914025184542,0.941521029924887,-0.034929627406432795,0.007060755292351395
6,0.9490403821102908,0.9308868835834236,0.018153498526867207,0.9317238384715588,0.9359716507101644,-0.004247812238605597,0.022401310765472804
7,0.929085733584214,0.9520975609756096,-0.023011827391395623,0.9402344767694312,0.9419171866137266,-0.0016827098442954158,-0.021329117547100207
8,0.9730612244897958,0.9334634146341464,0.039597809855649424,0.9326984126984126,0.9296903006239364,0.0030081120744761547,0.03658969778117327
9,0.9374381241858446,0.9195099262620532,0.01792819792379141,0.9158508225985428,0.9052985441482322,0.010552278450310593,0.007375919473480819
10,0.929902060114826,0.940189209164819,-0.01028714904999295,0.9010508033000434,0.9408496994906524,-0.03979889619060906,0.029511747140616107
11,0.9420408163265306,0.9336903006239364,0.008350515702594152,0.9518367346938774,0.9479001701644924,0.003936564529385067,0.004413951173209085
12,0.9362744246634824,0.9483244469654,-0.01205002230191754,0.9207487817822164,0.9438800025209554,-0.023131220738738967,0.011081198436821427
13,0.9508467216673904,0.9665343165059556,-0.01568759483856519,0.9590099869735128,0.9485606604903258,0.010449326483186971,-0.02613692132175216
14,0.919743329956096,0.9265247597930524,-0.0067814298369563986,0.9271732522796352,0.932280857354028,-0.005107605074392785,-0.0016738247625636138
15,0.9503102233801322,0.943446398184912,0.006863825195220108,0.949214068606166,0.9339171866137266,0.015296881992439393,-0.008433056797219285
16,0.9503102233801322,0.9583990787053748,-0.008088855325242617,0.9292594200800888,0.9484160951546092,-0.019156675074520457,0.01106781974927784
17,0.9590099869735128,0.941294143935097,0.01771584303841578,0.9402344767694312,0.9366429811443991,0.0035914956250320262,0.014124347413383753
18,0.9516630481980024,0.9436732841747022,0.007989764023300205,0.949214068606166,0.9281704165878868,0.02104365201827918,-0.013053887994978974
19,0.9671732522796352,0.9266599975936334,0.040513254686001865,0.912932889467844,0.9266491574852324,-0.013716268017388344,0.05422952270339021
