repeat,grch38_sex_M,grch38_sex_F,grch38_gap,t2t_sex_M,t2t_sex_F,t2t_gap,delta_delta
0,0.970438558402084,0.9667317073170733,0.003706851085010787,0.9733564915327833,0.9578536585365852,0.015502832996198035,-0.011795981911187248
1,0.9688059053408598,0.9813658536585363,-0.012559948317676595,0.9802344767694312,0.9862439024390244,-0.006009425669593171,-0.006550522648083423
2,0.9816326530612246,0.984091648189209,-0.00245899512798442,0.9688059053408598,0.9794404853985114,-0.01063458005765161,0.00817558492966719
3,0.9844897959183674,0.9643665927568368,0.0201232031615306,0.9485714285714286,0.9461862183949534,0.0023852101764751943,0.017737992985055406
4,0.9745201910551454,0.9764878048780488,-0.0019676138229033358,0.9745201910551454,0.963836642087351,0.010683548967794443,-0.012651162790697779
5,0.963091619626574,0.9801832963784184,-0.01709167675184442,0.9787755102040816,0.965684387837536,0.013091122366545638,-0.030182799118390058
6,0.9942857142857144,0.9541721927155846,0.04011352157012982,0.9885714285714288,0.968579453067258,0.019991975504170756,0.02012154606595906
7,0.9702648719062094,0.9813658536585363,-0.011100981752326988,0.9844897959183674,0.9589585933068634,0.02553120261150399,-0.03663218436383098
8,0.970030395136778,0.98579945799458,-0.015769062857801996,0.9757446808510638,0.9815927396483268,-0.005848058797263023,-0.009921004060538974
9,0.9573773339122884,0.9446429811443992,0.012734352767889257,0.9643768996960486,0.9550502414960724,0.009326658199976134,0.003407694567913122
10,0.971723838471559,0.9650332250468384,0.006690613424720548,0.9689795918367348,0.9800916481892092,-0.011112056352474475,0.017802669777195024
11,0.963091619626574,0.96770140428677,-0.004609784660196015,0.9743465045592704,0.9733658536585368,0.0009806509007336262,-0.005590435560929641
12,0.9714285714285716,0.9588233555062824,0.012605215922289248,0.9643614608964152,0.9743355506282334,-0.009974089731818236,0.022579305654107484
13,0.9745201910551454,0.9880916481892092,-0.013571457134063825,0.9689795918367348,0.996,-0.02702040816326523,0.013448951029201406
14,0.9601823708206688,0.9691529933481152,-0.008970622527446404,0.9658358662613982,0.9620310421286032,0.003804824132794926,-0.01277544666024133
15,0.9563352149370388,0.9831219512195124,-0.026786736282473633,0.9763265306122448,0.9718366420873512,0.004489888524893626,-0.03127662480736726
16,0.978836300477638,0.9703355506282336,0.00850074984940441,0.970438558402084,0.9832135994087212,-0.012775041006637178,0.021275790856041588
17,0.9787755102040816,0.9743355506282334,0.004439959575848196,0.9859487624837168,0.9783355506282336,0.007613211855483137,-0.0031732522796349416
18,0.985775075987842,0.9815927396483268,0.004182336339515147,0.9738775510204082,0.9646089482459306,0.009268602774477608,-0.005086266434962461
19,0.9843161094224924,0.9548233555062822,0.0294927539162102,0.9942857142857144,0.9568979872462572,0.03738772703945725,-0.007894973123247051
