repeat,grch38_sex_M,grch38_sex_F,grch38_gap,t2t_sex_M,t2t_sex_F,t2t_gap,delta_delta
0,0.9689795918367348,0.9707317073170731,-0.0017521154803383787,0.9746938775510204,0.9804878048780488,-0.005793927327028325,0.004041811846689947
1,0.96734693877551,0.9853658536585366,-0.018018914883026538,0.96734693877551,0.9804878048780488,-0.013140866102538729,-0.004878048780487809
2,0.9730612244897958,0.977684387837536,-0.004623163347740156,0.9730612244897958,0.977684387837536,-0.004623163347740156,0.0
3,0.965714285714286,0.9634885439763488,0.0022257417379372146,0.9557446808510636,0.9541862183949534,0.0015584624561101323,0.0006672792818270823
4,0.9828571428571428,0.9764878048780488,0.006369337979094003,0.9730612244897958,0.9629585933068632,0.010102631182932642,-0.003733293203838639
5,0.9730612244897958,0.9746540848072328,-0.0015928603174369949,0.9616326530612244,0.9715321335877206,-0.009899480526496252,0.008306620209059257
6,0.9828571428571428,0.9628233555062824,0.020033787350860366,0.9885714285714288,0.9774575018477456,0.011113926723683165,0.0089198606271772
7,0.9771428571428572,0.975609756097561,0.001533101045296248,0.96734693877551,0.9804878048780488,-0.013140866102538729,0.014673967147834976
8,0.9828571428571428,0.9804878048780488,0.0023693379790939995,0.965714285714286,0.9804878048780488,-0.014773519163762794,0.017142857142856793
9,0.9728875379939208,0.9418395641038864,0.03104797389003444,0.965714285714286,0.9451589061345158,0.02055537957977016,0.01049259431026428
10,0.96,0.9823355506282336,-0.02233555062823367,0.965714285714286,0.9774575018477456,-0.011743216133459633,-0.010592334494774036
11,0.9671732522796352,0.9707317073170731,-0.003558455037437902,0.965714285714286,0.9862439024390244,-0.02052961672473841,0.016971161687300507
12,0.9616326530612244,0.96370140428677,-0.0020687512255456175,0.9363265306122448,0.968806339057048,-0.03247980844480325,0.03041105721925763
13,0.96734693877551,0.996,-0.028653061224489962,0.965714285714286,1.0,-0.03428571428571403,0.005632653061224069
14,0.9542857142857144,0.9695491500369549,-0.01526343575124045,0.965714285714286,0.9762749445676274,-0.010560658853341454,-0.004702776897898997
15,0.9802344767694312,0.9902439024390244,-0.010009425669593175,0.986122448979592,0.9758366420873512,0.01028580689224079,-0.020295232561833965
16,0.971897524967434,0.96770140428677,0.004196120680663995,0.971897524967434,0.9639282902765602,0.007969234690873739,-0.003773114010209744
17,0.9844897959183674,0.9639282902765602,0.020561505641807143,0.9844897959183674,0.973684387837536,0.010805408080831413,0.00975609756097573
18,0.9828571428571428,0.9709585933068632,0.01189854955027958,0.9828571428571428,0.9630502414960724,0.019806901361070328,-0.007908351810790748
19,0.9614589665653496,0.9532941439350968,0.008164822630252755,0.9542857142857144,0.9502638409047938,0.0040218733809206375,0.004142949249332117
